bg2010ge,white_tot_wt,black_tot_wt,aian_tot_wt,asian_tot_wt,other_tot_wt,latin_tot_wt,tot_pop_wt,white_pct_wt,black_pct_wt,aian_pct_wt,asian_pct_wt,other_pct_wt,latin_pct_wt
260099607001,1614.0,0.0,7.0,4.0,0.0,32.0,1657.0,0.974,0.0,0.004,0.002,0.0,0.019
260099607002,1543.0,0.0,13.0,0.0,0.0,90.0,1646.0,0.937,0.0,0.008,0.0,0.0,0.055
260099607003,814.0,0.0,0.0,0.0,0.0,13.0,827.0,0.984,0.0,0.0,0.0,0.0,0.016
260099607004,813.0,111.0,0.0,13.0,0.0,31.0,968.0,0.84,0.115,0.0,0.013,0.0,0.032
260099900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260119701001,767.0,0.0,0.0,0.0,0.0,30.0,797.0,0.962,0.0,0.0,0.0,0.0,0.038
260119701002,509.0,0.0,14.0,1.0,5.0,10.0,539.0,0.944,0.0,0.026,0.002,0.009,0.019
260119701003,695.0,4.0,6.0,0.0,0.0,38.0,743.0,0.935,0.005,0.008,0.0,0.0,0.051
260119702001,1196.0,0.0,6.0,0.0,0.0,0.0,1202.0,0.995,0.0,0.005,0.0,0.0,0.0
260119702002,961.0,0.0,0.0,0.0,3.0,29.0,993.0,0.968,0.0,0.0,0.0,0.003,0.029
260119702003,892.0,11.0,5.0,0.0,0.0,19.0,927.0,0.962,0.012,0.005,0.0,0.0,0.02
260119703001,736.0,23.0,2.0,0.0,0.0,26.0,787.0,0.935,0.029,0.003,0.0,0.0,0.033
260119703002,868.0,0.0,11.0,0.0,0.0,9.0,888.0,0.977,0.0,0.012,0.0,0.0,0.01
260119703003,1098.0,23.0,7.0,0.0,0.0,66.0,1194.0,0.92,0.019,0.006,0.0,0.0,0.055
260119704001,1043.0,0.0,0.0,0.0,0.0,0.0,1043.0,1.0,0.0,0.0,0.0,0.0,0.0
260119704002,655.0,15.0,3.0,0.0,8.0,18.0,699.0,0.937,0.021,0.004,0.0,0.011,0.026
260119704003,924.0,0.0,0.0,0.0,3.0,17.0,944.0,0.979,0.0,0.0,0.0,0.003,0.018
260119705001,436.0,0.0,14.0,0.0,0.0,0.0,450.0,0.969,0.0,0.031,0.0,0.0,0.0
260119705002,998.0,0.0,4.0,2.0,0.0,0.0,1004.0,0.994,0.0,0.004,0.002,0.0,0.0
260119705003,722.0,3.0,23.0,0.0,0.0,21.0,769.0,0.939,0.004,0.03,0.0,0.0,0.027
260119705004,768.0,5.0,0.0,16.0,0.0,19.0,808.0,0.95,0.006,0.0,0.02,0.0,0.024
260119705005,778.0,0.0,2.0,0.0,2.0,36.0,818.0,0.951,0.0,0.002,0.0,0.002,0.044
260119900000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260119901000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260130001001,578.0,0.0,10.0,0.0,0.0,25.0,613.0,0.943,0.0,0.016,0.0,0.0,0.041
260130001002,1094.0,7.0,267.0,1.0,0.0,12.0,1381.0,0.792,0.005,0.193,0.001,0.0,0.009
